ok,path,file,variant,palette,rows,duration_s,fps_inst_mean,fps_inst_median,fps_inst_p05,fps_inst_p95,smoothed_fps_mean,smoothed_fps_median,frame_ms_mean,frame_ms_median,frame_ms_p95,frame_ms_p99,throughput_particles_per_s,n,width,height,vsync,threads,ssaa,render_frac,sym
True,secuencial/runs/seq_ocean_5.csv,seq_ocean_5.csv,sequential,ocean,48,10.484,30.979375,30.8965,29.7813,32.0873,30.891312499999998,30.889499999999998,32.30070366681853,32.36612704544751,33.57813024448723,33.865256507837174,43255.1,1400,1512,982,0,,,,
True,secuencial/runs/seq_ocean_6.csv,seq_ocean_6.csv,sequential,ocean,50,10.508000000000001,29.829340000000006,29.7345,27.8208,31.82845,29.81728,29.8125,33.57320693276292,33.631115981509936,35.952494012303525,36.47781934438636,41628.3,1400,1512,982,0,,,,
True,secuencial/runs/seq_ocean_7.csv,seq_ocean_7.csv,sequential,ocean,50,10.619,30.33728,30.298499999999997,29.2197,31.74515,30.168360000000003,30.109,32.9879257905931,33.004934246656816,34.22408608399845,35.35035207261587,42417.899999999994,1400,1512,982,0,,,,
True,secuencial/runs/seq_ocean_8.csv,seq_ocean_8.csv,sequential,ocean,49,10.485999999999999,30.428061224489795,30.678,28.424400000000002,32.102000000000004,30.361346938775508,30.47,32.96048153065995,32.59664906447617,35.183401728506304,40.22865427376856,42949.200000000004,1400,1512,982,0,,,,
True,secuencial/runs/seq_ocean_9.csv,seq_ocean_9.csv,sequential,ocean,49,10.429,30.580306122448977,30.347,29.227,32.204,30.41261224489796,30.438,32.729419196500345,32.95218637756615,34.21499973162584,34.86155484819781,42485.8,1400,1512,982,0,,,,
True,paralelo/runs/par_neon_1.csv,par_neon_1.csv,parallel,neon,21,10.08,105.83433333333332,112.49,59.703,165.549,101.14109523809525,100.779,10.542778644416833,8.889679082585118,16.7495770731789,16.7630569400453,112490.0,1000,1280,720,0,10.0,1.0,1.0,6.0
True,paralelo/runs/par_neon_10.csv,par_neon_10.csv,parallel,neon,21,10.067,102.56785714285714,117.363,58.935,124.383,96.23566666666667,95.745,10.756283593154647,8.520572923323364,16.967845931958937,17.008273066582394,117363.0,1000,1280,720,0,10.0,1.0,1.0,6.0
True,paralelo/runs/par_neon_2.csv,par_neon_2.csv,parallel,neon,21,10.05,96.01938095238094,117.378,58.445,130.941,108.79571428571428,109.567,11.73681995820181,8.519484060045324,17.110103516126273,17.22202415322612,117378.0,1000,1280,720,0,10.0,1.0,1.0,6.0
True,paralelo/runs/par_neon_3.csv,par_neon_3.csv,parallel,neon,21,10.075,105.24266666666666,118.329,59.022,126.482,97.98642857142858,96.505,10.47462130123473,8.451013699093206,16.942834875131307,17.115874020566604,118329.0,1000,1280,720,0,10.0,1.0,1.0,6.0
True,paralelo/runs/par_neon_4.csv,par_neon_4.csv,parallel,neon,20,9.6,102.24635,117.0395,59.84105,129.16830000000002,96.1942,96.64150000000001,10.779822451107394,8.544267404871164,16.71094101495403,16.7405033648592,117039.5,1000,1280,720,0,10.0,1.0,1.0,6.0
